year,month,month_code,district,total_snap_persons,total_snap_households,total_snap_benefits,temporary_assistance_snap_persons,non_temporary_assistance_snap_persons
2025,February,2,Albany,32528,18518,6468325,7548,24980
2025,February,2,Allegany,5335,3122,921755,1069,4266
2025,February,2,Broome,26175,15252,5057703,6894,19281
2025,February,2,Cattaraugus,10616,6016,1863573,2424,8192
2025,February,2,Cayuga,8860,5102,1623959,2032,6828
2025,February,2,Chautauqua,23662,13373,4484888,6120,17542
2025,February,2,Chemung,14482,8204,2823181,2832,11650
2025,February,2,Chenango,6856,4010,1193053,1157,5699
2025,February,2,Clinton,11828,7373,2221823,2831,8997
2025,February,2,Columbia,5213,3341,993937,1228,3985
2025,February,2,Cortland,5696,3363,1062047,1127,4569
2025,February,2,Delaware,4741,2776,832530,780,3961
2025,February,2,Dutchess,16949,10960,3388433,3641,13308
2025,February,2,Erie,141469,78508,28142001,32371,109098
2025,February,2,Essex,3053,1894,533654,555,2498
2025,February,2,Franklin,6709,4068,1263717,1712,4997
2025,February,2,Fulton,8005,4917,1517844,1782,6223
2025,February,2,Genesee,4796,2963,835256,865,3931
2025,February,2,Greene,3882,2499,773237,875,3007
2025,February,2,Hamilton,371,204,60225,46,325
2025,February,2,Herkimer,9116,5270,1650993,1277,7839
2025,February,2,Jefferson,14615,8265,2712870,2550,12065
2025,February,2,Lewis,2992,1682,487253,432,2560
2025,February,2,Livingston,5439,3259,983032,1172,4267
2025,February,2,Madison,6318,3684,1145656,1006,5312
2025,February,2,Monroe,108807,63328,22277672,28444,80363
2025,February,2,Montgomery,8471,4583,1570659,1687,6784
2025,February,2,Nassau,44244,31740,8654399,14320,29924
2025,February,2,Niagara,27121,16233,5182650,5361,21760
2025,February,2,Oneida,35368,18985,7118065,8378,26990
2025,February,2,Onondaga,66670,37051,13102921,17961,48709
2025,February,2,Ontario,9364,5702,1738716,2099,7265
2025,February,2,Orange,45549,19566,8576147,6330,39219
2025,February,2,Orleans,5274,3112,930820,1320,3954
2025,February,2,Oswego,17198,9392,3168920,3355,13843
2025,February,2,Otsego,6788,3925,1224679,984,5804
2025,February,2,Putnam,2923,1987,604195,565,2358
2025,February,2,Rensselaer,15740,8517,2990356,3550,12190
2025,February,2,Rockland,52484,18524,10129424,3838,48646
2025,February,2,St. Lawrence,13777,7952,2518826,3110,10667
2025,February,2,Saratoga,14539,8933,2640607,1993,12546
2025,February,2,Schenectady,20875,11528,4221415,5112,15763
2025,February,2,Schoharie,3853,2256,684875,535,3318
2025,February,2,Schuyler,1921,1170,329903,293,1628
2025,February,2,Seneca,3622,2095,631536,755,2867
2025,February,2,Steuben,12378,6889,2165318,2548,9830
2025,February,2,Suffolk,129723,81133,28397086,20660,109063
2025,February,2,Sullivan,12867,6483,2611505,2108,10759
2025,February,2,Tioga,5322,2878,865865,803,4519
2025,February,2,Tompkins,7700,4774,1500878,1721,5979
2025,February,2,Ulster,17401,10908,3527790,3532,13869
2025,February,2,Warren,6945,4250,1273669,1154,5791
2025,February,2,Washington,6933,4105,1214286,1319,5614
2025,February,2,Wayne,8461,5058,1513713,1673,6788
2025,February,2,Westchester,73925,45322,15407291,17035,56890
2025,February,2,Wyoming,2522,1562,417295,559,1963
2025,February,2,Yates,2083,1275,356596,427,1656
2025,February,2,New York City,1794907,1076153,419297625,812364,982543
2025,March,3,Albany,32365,18519,6435489,7575,24790
2025,March,3,Allegany,5361,3143,926396,1069,4292
2025,March,3,Broome,26464,15404,5148781,7047,19417
2025,March,3,Cattaraugus,10658,6058,1868663,2417,8241
2025,March,3,Cayuga,8842,5083,1622199,1960,6882
2025,March,3,Chautauqua,23800,13438,4486517,6135,17665
2025,March,3,Chemung,14458,8195,2819489,2797,11661
2025,March,3,Chenango,6750,3967,1177132,1160,5590
2025,March,3,Clinton,11933,7451,2253817,2836,9097
2025,March,3,Columbia,5222,3344,992791,1211,4011
2025,March,3,Cortland,5702,3388,1076235,1138,4564
2025,March,3,Delaware,4832,2824,855079,764,4068
2025,March,3,Dutchess,16974,10990,3415310,3642,13332
2025,March,3,Erie,141701,78709,28180707,32691,109010
2025,March,3,Essex,3055,1904,531818,569,2486
2025,March,3,Franklin,6753,4090,1276640,1701,5052
2025,March,3,Fulton,8023,4944,1525762,1767,6256
2025,March,3,Genesee,4899,2998,864553,870,4029
2025,March,3,Greene,3903,2526,803830,879,3024
2025,March,3,Hamilton,366,205,58683,48,318
2025,March,3,Herkimer,9228,5325,1678434,1284,7944
2025,March,3,Jefferson,14658,8271,2704541,2582,12076
2025,March,3,Lewis,2945,1668,478110,431,2514
2025,March,3,Livingston,5448,3267,982602,1164,4284
2025,March,3,Madison,6334,3694,1151131,992,5342
2025,March,3,Monroe,108807,63452,22310673,28413,80394
2025,March,3,Montgomery,8542,4634,1581927,1683,6859
2025,March,3,Nassau,44075,31718,8577617,14343,29732
2025,March,3,Niagara,27302,16313,5238305,5426,21876
2025,March,3,Oneida,36376,19471,7102795,8547,27829
2025,March,3,Onondaga,66543,37042,13079433,18031,48512
2025,March,3,Ontario,9401,5743,1751448,2119,7282
2025,March,3,Orange,45401,19621,8618149,6393,39008
2025,March,3,Orleans,5301,3137,937606,1302,3999
2025,March,3,Oswego,17214,9475,3174331,3320,13894
2025,March,3,Otsego,6821,3970,1216988,982,5839
2025,March,3,Putnam,2940,2010,595070,562,2378
2025,March,3,Rensselaer,15971,8631,3060969,3524,12447
2025,March,3,Rockland,53026,18668,10362309,3831,49195
2025,March,3,St. Lawrence,13772,7971,2533173,3127,10645
2025,March,3,Saratoga,14735,9041,2684565,1997,12738
2025,March,3,Schenectady,21151,11653,4306704,5137,16014
2025,March,3,Schoharie,3919,2281,695867,531,3388
2025,March,3,Schuyler,1923,1175,334717,291,1632
2025,March,3,Seneca,3591,2079,630939,742,2849
2025,March,3,Steuben,12402,6902,2174590,2589,9813
2025,March,3,Suffolk,129261,80944,28298359,20748,108513
2025,March,3,Sullivan,13102,6568,2658532,2100,11002
2025,March,3,Tioga,5370,2887,871724,803,4567
2025,March,3,Tompkins,7731,4806,1516497,1690,6041
2025,March,3,New York City,1796536,1076340,422888682,814900,981636
2025,March,3,Ulster,17475,10971,3545217,3533,13942
2025,March,3,Warren,7019,4309,1290431,1167,5852
2025,March,3,Washington,6938,4112,1226979,1284,5654
2025,March,3,Wayne,8527,5110,1556622,1687,6840
2025,March,3,Westchester,73716,45274,15400301,16895,56821
2025,March,3,Wyoming,2534,1566,419845,559,1975
2025,March,3,Yates,2103,1288,360474,411,1692
2025,April,4,Chenango,6764,3957,1186422,1164,5600
2025,April,4,New York City,1798354,1077663,418661107,816566,981788
2025,April,4,Yates,2070,1263,354409,391,1679
2025,April,4,Wyoming,2498,1557,418047,558,1940
2025,April,4,Westchester,73665,45325,15380322,16968,56697
2025,April,4,Wayne,8380,5062,1507693,1676,6704
2025,April,4,Washington,6896,4099,1222622,1266,5630
